round,pickInRound,overallPick,teamId,teamAbbrev,teamLogoLight,teamLogoDark,teamPickHistory,positionCode,countryCode,height,weight,amateurLeague,amateurClubName,year,scrapedOn,source,teamName.default,teamName.fr,teamCommonName.default,teamPlaceNameWithPreposition.default,teamPlaceNameWithPreposition.fr,displayAbbrev.default,firstName.default,lastName.default,teamCommonName.fr
1,17,17,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,MTL-NYI,D,CAN,74,199,OHL,Barrie,2025,2026-01-02T20:32:03.315224,NHL Draft API,New York Islanders,Islanders de New York,Islanders,New York,de New York,NYI,Kashawn,Aitcheson,
1,18,18,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,NJD-CGY,C,CAN,71,180,WHL,Victoria,2025,2026-01-02T20:32:03.315224,NHL Draft API,Calgary Flames,Flames de Calgary,Flames,Calgary,de Calgary,CGY,Cole,Reschny,
1,19,19,19,STL,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_dark.svg,STL,RW,CAN,74,205,QMJHL,Blainville-Boisbriand,2025,2026-01-02T20:32:03.315224,NHL Draft API,St. Louis Blues,Blues de St. Louis,Blues,St. Louis,de St. Louis,STL,Justin,Carbonneau,
1,20,20,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,MIN-CBJ,G,RUS,72,207,RUSSIA-JR.,CSKA Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Columbus Blue Jackets,Blue Jackets de Columbus,Blue Jackets,Columbus,de Columbus,CBJ,Pyotr,Andreyanov,
1,21,21,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,OTT-NSH,D,CAN,72,183,OHL,Kitchener,2025,2026-01-02T20:32:03.315224,NHL Draft API,Nashville Predators,Predators de Nashville,Predators,Nashville,de Nashville,NSH,Cameron,Reid,
1,22,22,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,COL-PHI-PIT,RW,CAN,74,185,QMJHL,Rouyn-Noranda,2025,2026-01-02T20:32:03.315224,NHL Draft API,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,Pittsburgh,de Pittsburgh,PIT,Bill,Zonnon,
1,23,23,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,TBL-NSH-OTT,D,USA,75,198,BIG10,Wisconsin,2025,2026-01-02T20:32:03.315224,NHL Draft API,Ottawa Senators,Sénateurs d'Ottawa,Senators,Ottawa,d'Ottawa,OTT,Logan,Hensler,Sénateurs
1,24,24,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,LAK-PIT,C,CAN,77,203,BIG10,Michigan,2025,2026-01-02T20:32:03.315224,NHL Draft API,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,Pittsburgh,de Pittsburgh,PIT,William,Horcoff,
1,25,25,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_dark.svg,TOR-CHI,RW,CZE,78,185,USHL,Muskegon,2025,2026-01-02T20:32:03.315224,NHL Draft API,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,Chicago,de Chicago,CHI,Vaclav,Nestrasil,
1,26,26,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,VGK-SJS-NSH,RW,USA,73,185,USHL,Madison,2025,2026-01-02T20:32:03.315224,NHL Draft API,Nashville Predators,Predators de Nashville,Predators,Nashville,de Nashville,NSH,Ryker,Lee,
1,27,27,15,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_dark.svg,WSH,LW,CAN,76,200,WHL,Moose Jaw,2025,2026-01-02T20:32:03.315224,NHL Draft API,Washington Capitals,Capitals de Washington,Capitals,Washington,de Washington,WSH,Lynden,Lakovic,
1,28,28,52,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,WPG,D,FIN,74,184,H-EAST,Boston University,2025,2026-01-02T20:32:03.315224,NHL Draft API,Winnipeg Jets,Jets de Winnipeg,Jets,Winnipeg,de Winnipeg,WPG,Sascha,Boumedienne,
1,29,29,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_dark.svg,CAR-CHI,C,USA,79,218,HIGH-MN,Edina,2025,2026-01-02T20:32:03.315224,NHL Draft API,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,Chicago,de Chicago,CHI,Mason,West,
1,30,30,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,DAL-SJS,G,CAN,78,191,WHL,Prince George,2025,2026-01-02T20:32:03.315224,NHL Draft API,San Jose Sharks,Sharks de San Jose,Sharks,San Jose,de San Jose,SJS,Joshua,Ravensbergen,
1,31,31,26,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,EDM-PHI-PIT-LAK,D,USA,74,203,OHL,London,2025,2026-01-02T20:32:03.315224,NHL Draft API,Los Angeles Kings,Kings de Los Angeles,Kings,Los Angeles,de Los Angeles,LAK,Henry,Brzustewicz,
1,32,32,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,FLA-CGY,C,USA,70,172,NCHC,Arizona State,2025,2026-01-02T20:32:03.315224,NHL Draft API,Calgary Flames,Flames de Calgary,Flames,Calgary,de Calgary,CGY,Cullen,Potter,
2,1,33,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,SJS,D,CHN,78,222,OHL,Oshawa,2025,2026-01-02T20:32:03.315224,NHL Draft API,San Jose Sharks,Sharks de San Jose,Sharks,San Jose,de San Jose,SJS,Simon (Haoxi),Wang,
2,2,34,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,CHI-CAR-MTL,RW,RUS,73,163,RUSSIA-JR.,Ufa Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,MTL,Alexander,Zharovsky,
2,3,35,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,NSH,D,USA,79,209,USHL,Lincoln,2025,2026-01-02T20:32:03.315224,NHL Draft API,Nashville Predators,Predators de Nashville,Predators,Nashville,de Nashville,NSH,Jacob,Rombach,
2,4,36,55,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,PHI-SEA,D,USA,77,220,WHL,Edmonton,2025,2026-01-02T20:32:03.315224,NHL Draft API,Seattle Kraken,Kraken de Seattle,Kraken,Seattle,de Seattle,SEA,Blake,Fiddler,
