conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,scrapedOn,source,placeName.default,teamName.default,teamName.fr,teamCommonName.default,teamAbbrev.default,placeName.fr,teamCommonName.fr
E,5,1,Eastern,13,8,2026-01-01,A,4,1,Atlantic,5,4,2,39,3,0.076923,121,124,3.179487,19,15,51,66,5,2,26,10,10,0,12,10,18,18,36,0,0,20,9,7,0,10,8,1,21,11,14,4,0.589744,46,0.461538,18,0.384615,15,20,-12,70,58,9,2,20,8,5,0,9,20252026,0,3,W,10,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,0,23,2,0.538462,21,2026-01-02T20:32:02.675276,NHL Standings API,Buffalo,Buffalo Sabres,Sabres de Buffalo,Sabres,BUF,,
W,7,4,Western,7,4,2026-01-01,P,4,2,Pacific,4,1,2,41,-1,-0.02439,138,137,3.341463,17,4,62,66,4,3,23,10,8,0,10,10,3,31,34,4,0,12,6,6,0,6,16,10,12,12,15,6,0.560976,46,0.487805,20,0.365854,15,24,-5,76,71,11,3,23,10,7,0,10,20252026,2,0,L,1,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,0,17,0,0.487805,20,2026-01-02T20:32:02.675276,NHL Standings API,Edmonton,Edmonton Oilers,Oilers d'Edmonton,Oilers,EDM,,
W,9,12,Western,6,5,2026-01-01,P,6,6,Pacific,3,2,2,38,0,0.0,119,119,3.131579,20,-2,69,67,6,6,22,7,7,0,8,10,-5,38,33,4,3,9,3,2,0,3,21,24,10,13,10,11,0.592105,45,0.421053,16,0.342105,13,18,2,50,52,4,5,23,9,6,0,9,20252026,5,1,L,2,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,24,0,0.447368,17,2026-01-02T20:32:02.675276,NHL Standings API,Vegas,Vegas Golden Knights,Golden Knights de Vegas,Golden Knights,VGK,,
E,3,6,Eastern,15,9,2026-01-01,A,3,6,Atlantic,7,5,2,39,2,0.051282,124,126,3.230769,24,2,76,78,8,3,29,11,10,0,13,10,3,31,34,3,1,13,5,5,0,6,5,9,29,14,15,3,0.576923,45,0.487179,19,0.461538,18,15,0,48,48,7,0,16,8,8,0,8,20252026,1,2,OT,1,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,0,21,3,0.538462,21,2026-01-02T20:32:02.675276,NHL Standings API,Florida,Florida Panthers,Panthers de la Floride,Panthers,FLA,Floride,
E,10,11,Eastern,6,10,2026-01-01,M,5,4,Metropolitan,3,5,2,39,0,0.0,126,126,3.230769,20,-3,73,70,6,5,23,8,7,0,9,10,-5,41,36,4,2,10,3,2,0,4,17,21,13,15,12,9,0.576923,45,0.435897,17,0.384615,15,19,3,53,56,6,4,22,9,8,0,9,20252026,5,1,W,3,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,20,4,0.461538,18,2026-01-02T20:32:02.675276,NHL Standings API,Pittsburgh,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,,
W,5,14,Western,9,6,2026-01-01,P,2,8,Pacific,5,3,2,40,-4,-0.1,141,137,3.425,20,5,68,73,7,1,25,10,8,0,12,10,-17,43,26,6,2,6,2,2,0,2,13,30,22,16,16,3,0.5625,45,0.425,17,0.325,13,20,-9,73,64,9,2,20,7,5,0,9,20252026,0,4,OT,1,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,0,18,0,0.525,21,2026-01-02T20:32:02.675276,NHL Standings API,Anaheim,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,,
E,1,7,Eastern,16,11,2026-01-01,A,1,7,Atlantic,8,6,2,40,0,0.0,134,134,3.35,24,11,76,87,5,5,33,14,11,0,14,10,-3,38,35,4,1,11,5,5,0,5,2,14,32,17,15,6,0.55,44,0.475,19,0.375,15,16,-11,58,47,10,1,11,5,4,0,5,20252026,1,0,W,2,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,15,5,0.475,19,2026-01-02T20:32:02.675276,NHL Standings API,Toronto,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,,
E,11,12,Eastern,9,12,2026-01-01,M,6,5,Metropolitan,5,6,2,40,-11,-0.275,120,109,2.725,19,-2,55,53,7,2,22,9,6,0,10,10,-7,28,21,5,1,9,3,3,0,4,18,23,16,18,17,2,0.55,44,0.45,18,0.35,14,21,-9,65,56,10,0,22,9,8,0,11,20252026,0,3,W,1,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,14,6,0.525,21,2026-01-02T20:32:02.675276,NHL Standings API,New Jersey,New Jersey Devils,Devils du New Jersey,Devils,NJD,,
E,9,15,Eastern,14,13,2026-01-01,A,5,8,Atlantic,6,7,2,41,-4,-0.097561,134,130,3.170732,21,1,67,68,8,1,25,11,8,0,12,10,-9,38,29,5,2,8,3,3,0,3,14,27,24,19,18,2,0.536585,44,0.463415,19,0.365854,15,20,-5,67,62,10,1,19,8,7,0,9,20252026,1,2,W,1,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026,0,11,7,0.512195,21,2026-01-02T20:32:02.675276,NHL Standings API,Boston,Boston Bruins,Bruins de Boston,Bruins,BOS,,
E,13,5,Eastern,8,14,2026-01-01,A,7,5,Atlantic,4,8,2,39,2,0.051282,127,129,3.307692,19,4,54,58,7,3,21,7,7,0,9,10,8,31,39,3,1,13,6,5,0,6,23,8,15,20,15,5,0.551282,43,0.410256,16,0.358974,14,20,-2,73,71,8,2,22,9,7,0,10,20252026,0,3,W,1,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,0,16,8,0.487179,19,2026-01-02T20:32:02.675276,NHL Standings API,Ottawa,Ottawa Senators,Sénateurs d'Ottawa,Senators,OTT,,Sénateurs
W,6,6,Western,12,7,2026-01-01,P,3,3,Pacific,7,4,2,40,-15,-0.375,139,124,3.1,21,-3,68,65,7,3,25,9,7,0,11,10,-2,40,38,4,0,12,5,3,0,6,15,12,26,21,17,3,0.5375,43,0.45,18,0.275,11,19,-12,71,59,10,0,18,9,4,0,9,20252026,1,2,W,3,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,0,12,1,0.5,20,2026-01-02T20:32:02.675276,NHL Standings API,San Jose,San Jose Sharks,Sharks de San Jose,Sharks,SJS,,
E,16,13,Eastern,1,15,2026-01-01,M,8,6,Metropolitan,1,7,2,42,-7,-0.166667,116,109,2.595238,18,-22,57,35,10,3,13,4,2,0,5,10,-6,32,26,5,1,9,3,1,0,4,31,25,3,22,18,5,0.511905,43,0.404762,17,0.285714,12,24,15,59,74,8,2,30,13,10,0,14,20252026,0,2,L,1,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,8,9,0.452381,19,2026-01-02T20:32:02.675276,NHL Standings API,NY Rangers,New York Rangers,Rangers de New York,Rangers,NYR,,
W,8,7,Western,10,8,2026-01-01,P,5,4,Pacific,6,5,2,38,-13,-0.342105,112,99,2.605263,20,-4,54,50,7,4,22,9,7,0,9,10,2,27,29,4,1,11,5,5,0,5,20,13,23,23,14,7,0.539474,41,0.447368,17,0.315789,12,18,-9,58,49,7,3,19,8,5,0,8,20252026,4,0,W,1,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,0,13,2,0.447368,17,2026-01-02T20:32:02.675276,NHL Standings API,Seattle,Seattle Kraken,Kraken de Seattle,Kraken,SEA,,
W,15,13,Western,3,9,2026-01-01,P,7,7,Pacific,1,6,2,39,-5,-0.128205,107,102,2.615385,18,-7,48,41,9,4,14,5,4,0,5,10,-8,30,22,6,2,6,2,2,0,2,30,29,6,24,14,9,0.525641,41,0.384615,15,0.282051,11,21,2,59,61,5,5,27,10,7,0,11,20252026,5,1,L,2,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,0,10,3,0.410256,16,2026-01-02T20:32:02.675276,NHL Standings API,Los Angeles,Los Angeles Kings,Kings de Los Angeles,Kings,LAK,,
W,13,9,Western,8,10,2026-01-01,C,7,5,Central,4,4,2,41,8,0.195122,118,126,3.073171,17,6,49,55,7,1,19,9,7,0,9,10,5,28,33,5,0,10,5,3,0,5,27,19,17,25,19,3,0.5,41,0.463415,19,0.341463,14,24,2,69,71,12,2,22,10,7,0,10,20252026,0,0,W,1,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,0,6,4,0.463415,19,2026-01-02T20:32:02.675276,NHL Standings API,Utah,Utah Mammoth,Mammoth de l'Utah,Mammoth,UTA,,
E,15,14,Eastern,12,16,2026-01-01,M,7,7,Metropolitan,8,8,2,39,-13,-0.333333,131,118,3.025641,18,-8,61,53,7,3,19,6,5,0,8,10,-4,32,28,6,0,8,4,3,0,4,28,26,20,26,16,6,0.512821,40,0.333333,13,0.25641,10,21,-5,70,65,9,3,21,7,5,0,9,20252026,1,4,L,1,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,0,9,10,0.435897,17,2026-01-02T20:32:02.675276,NHL Standings API,Columbus,Columbus Blue Jackets,Blue Jackets de Columbus,Blue Jackets,CBJ,,
W,3,3,Western,16,11,2026-01-01,P,1,1,Pacific,8,7,2,40,-9,-0.225,117,108,2.7,19,18,42,60,5,2,26,11,10,0,12,10,7,29,36,3,0,14,7,5,0,7,7,7,31,27,18,4,0.5,40,0.4,16,0.35,14,21,-27,75,48,13,2,14,5,4,0,6,20252026,2,2,W,3,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,0,7,5,0.45,18,2026-01-02T20:32:02.675276,NHL Standings API,Calgary,Calgary Flames,Flames de Calgary,Flames,CGY,,
W,10,5,Western,11,12,2026-01-01,C,4,3,Central,5,5,2,40,-19,-0.475,133,114,2.85,21,-7,68,61,9,2,22,8,7,0,10,10,1,28,29,4,0,12,6,5,0,6,22,11,25,28,18,4,0.5,40,0.4,16,0.325,13,19,-12,65,53,9,2,18,8,6,0,8,20252026,0,2,L,1,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,5,6,0.45,18,2026-01-02T20:32:02.675276,NHL Standings API,Nashville,Nashville Predators,Predators de Nashville,Predators,NSH,,
W,11,11,Western,13,13,2026-01-01,C,5,6,Central,6,6,2,41,-42,-1.02439,143,101,2.463415,22,-26,77,51,9,5,21,8,8,0,8,10,-12,34,22,5,1,9,4,4,0,4,25,22,27,29,18,8,0.463415,38,0.365854,15,0.365854,15,19,-16,66,50,9,3,17,7,7,0,7,20252026,2,0,L,2,https://assets.nhle.com/logos/nhl/svg/STL_light.svg?season=20252026,0,4,7,0.365854,15,2026-01-02T20:32:02.675276,NHL Standings API,St. Louis,St. Louis Blues,Blues de St. Louis,Blues,STL,,
W,12,15,Western,14,14,2026-01-01,C,6,7,Central,7,7,2,40,-18,-0.45,130,112,2.8,20,-3,57,54,8,4,20,8,7,0,8,10,-16,39,23,7,1,5,1,1,0,2,26,31,28,30,18,7,0.4625,37,0.35,14,0.325,13,20,-15,73,58,10,3,17,6,6,0,7,20252026,3,1,W,1,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026,0,3,8,0.375,15,2026-01-02T20:32:02.675276,NHL Standings API,Chicago,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,,
W,16,10,Western,4,15,2026-01-01,P,8,5,Pacific,2,8,2,39,-24,-0.615385,136,112,2.871795,17,-23,67,44,12,1,9,4,3,0,4,10,-5,32,27,5,0,10,3,3,0,5,32,20,7,31,20,3,0.448718,35,0.307692,12,0.25641,10,22,-1,69,68,8,2,26,8,7,0,12,20252026,0,4,L,1,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,0,2,9,0.410256,16,2026-01-02T20:32:02.675276,NHL Standings API,Vancouver,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,,
W,14,16,Western,15,16,2026-01-01,C,8,8,Central,8,8,2,39,-9,-0.230769,122,113,2.897436,18,5,53,58,8,2,18,8,8,0,8,10,-8,33,25,6,3,5,1,1,0,1,29,32,30,32,20,4,0.435897,34,0.358974,14,0.333333,13,21,-14,69,55,12,2,16,6,5,0,7,20252026,1,1,L,3,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,1,10,0.384615,15,2026-01-02T20:32:02.675276,NHL Standings API,Winnipeg,Winnipeg Jets,Jets de Winnipeg,Jets,WPG,,
