id,seasonId,abbrev,logo,darkLogo,french,scrapedOn,source,commonName.default,name.default,name.fr,placeNameWithPreposition.default,placeNameWithPreposition.fr,placeName.default,placeName.fr,commonName.fr
24,20252026,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Ducks,Anaheim Ducks,Ducks d'Anaheim,Anaheim,d'Anaheim,Anaheim,,
25,20252026,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Stars,Dallas Stars,Stars de Dallas,Dallas,de Dallas,Dallas,,
26,20252026,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Kings,Los Angeles Kings,Kings de Los Angeles,Los Angeles,de Los Angeles,Los Angeles,,
28,20252026,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Sharks,San Jose Sharks,Sharks de San Jose,San Jose,de San Jose,San Jose,,
29,20252026,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Blue Jackets,Columbus Blue Jackets,Blue Jackets de Columbus,Columbus,de Columbus,Columbus,,
30,20252026,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,https://assets.nhle.com/logos/nhl/svg/MIN_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Wild,Minnesota Wild,Wild du Minnesota,Minnesota,du Minnesota,Minnesota,,
52,20252026,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Jets,Winnipeg Jets,Jets de Winnipeg,Winnipeg,de Winnipeg,Winnipeg,,
54,20252026,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Golden Knights,Vegas Golden Knights,Golden Knights de Vegas,Vegas,de Vegas,Vegas,,
55,20252026,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,False,2026-01-02T20:32:00.682818,calendar,Kraken,Seattle Kraken,Kraken de Seattle,Seattle,de Seattle,Seattle,,
68,20252026,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg?season=20252026,False,2026-01-02T20:32:00.682818,calendar,Mammoth,Utah Mammoth,Mammoth de l'Utah,Utah,de l'Utah,Utah,,
