#,Per,strength,Time:Elapsed Game,Event,Description,Time,timeRemaining,timeInPeriodSec,timeRemainingSec,home_on_ice,away_on_ice,home_goalie,away_goalie,merge_idx,eventId,timeInPeriod,timeRemaining_api,situationCode,homeTeamDefendingSide,typeCode,event_api,sortOrder,period,periodType,maxRegulationPeriods,teamId_,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,shotType,shootingPlayerId,goalieInNetId,awaySOG,homeSOG,playerId,reason,blockingPlayerId,typeCode_1,descKey,duration,committedByPlayerId,drawnByPlayerId,secondaryReason,pptReplayUrl,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,highlightClipSharingUrl,highlightClip,discreteClip,assist2PlayerId,assist2PlayerTotal,isHome,eventTeam,html_event,home_on_id,away_on_id,homeGoalie_on_id,awayGoalie_on_id,home_on_full_name,away_on_full_name,homeGoalie_on_full_name,awayGoalie_on_full_name,home_on_count,away_on_count,homeGoalie_on_count,awayGoalie_on_count,n_home_skaters,n_away_skaters,pulled_home,pulled_away,home_strength,away_strength,gameStrength,detailedGameStrength,elapsedTime,player1Id,player2Id,player3Id,player1Name,player2Name,player3Name,gameId,homeTeam,awayTeam,teamId,isGoalie,venue,venueLocation,gameDate,gameType,startTimeUTC,easternUTCOffset,venueUTCOffset,scrapedOn,source,x_norm,y_norm,distanceFromGoal,angle_signed,strengthDiff,scoreDiff,shooterSkaters,defendingSkaters,shootEmptyNet,previousEvent,previousTeam,previousEventSameTeam,previousElapsedTime,previousEventDistanceFromGoal,previousEventAngleSigned,previousEventXNorm,previousEventYNorm,timeDiff,isRebound,isGoal,xG
11,1,,,ON,,0:00,20:00,0,1200,,,,,,,0:00,,,,,,,1,,,1.0,,,,,,,,,,,0,0,,,,,,00:22,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,0,8480002,,,Nico Hischier,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
12,1,,,ON,,0:00,20:00,0,1200,,,,,,,0:00,,,,,,,1,,,1.0,,,,,,,,,,,0,0,,,,,,00:33,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,0,8483495,,,Simon Nemec,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
13,1,,,ON,,0:00,20:00,0,1200,,,,,,,0:00,,,,,,,1,,,1.0,,,,,,,,,,,0,0,,,,,,00:21,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,0,8476292,,,Ondrej Palat,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
14,1,,,ON,,0:00,20:00,0,1200,,,,,,,0:00,,,,,,,1,,,1.0,,,,,,,,,,,0,0,,,,,,17:15,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,0,8474593,,,Jacob Markstrom,,,2024020001,BUF,NJD,1.0,1.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
15,1,,,ON,,0:00,20:00,0,1200,,,,,,,0:00,,,,,,,1,,,1.0,,,,,,,,,,,0,0,,,,,,00:29,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,0,8478399,,,Jonas Siegenthaler,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
16,1,,,ON,,0:00,20:00,0,1200,,,,,,,0:00,,,,,,,1,,,1.0,,,,,,,,,,,0,0,,,,,,00:23,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,0,8475193,,,Tomas Tatar,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
17,1,EV,0:0020:00,FAC,NJD won Neu. Zone - NJD #13 HISCHIER vs BUF #81 LAFFERTY,00:00,20:00,0,1200,"['81', '96', '29', '10', '26']","['13', '18', '90', '17', '71']",['1'],['25'],0.0,151.0,00:00,20:00,1551,right,502.0,faceoff,11.0,1,REG,3.0,1.0,8478043.0,8480002.0,0.0,0.0,N,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,False,NJD,FAC,"[8478043, 8477979, 8479359, 8480035, 8480839]","[8480002, 8476292, 8475193, 8483495, 8478399]",[8480045],[8474593],"['Sam Lafferty', 'Nicolas Aube-Kubel', 'Beck Malenstyn', 'Henri Jokiharju', 'Rasmus Dahlin']","['Nico Hischier', 'Ondrej Palat', 'Tomas Tatar', 'Simon Nemec', 'Jonas Siegenthaler']",['Ukko-Pekka Luukkonen'],['Jacob Markstrom'],5.0,5.0,1.0,1.0,4.0,4.0,0,0,5,5,5v5,5v5,0,8480002,8478043,,Nico Hischier,Sam Lafferty,,2024020001,BUF,NJD,1.0,,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,0.0,0.0,89.0,0.0,0.0,0.0,5.0,5.0,False,PSTR,NJD,True,0,,,,,0,False,False,
18,1,EV,0:0519:55,HIT,"BUF #29 MALENSTYN HIT NJD #90 TATAR, Def. Zone",00:05,19:55,5,1195,"['81', '96', '29', '10', '26']","['13', '18', '90', '17', '71']",['1'],['25'],0.0,147.0,00:05,19:55,1551,right,503.0,hit,12.0,1,REG,3.0,7.0,,,68.0,-40.0,N,8479359.0,8475193.0,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,True,BUF,HIT,"[8478043, 8477979, 8479359, 8480035, 8480839]","[8480002, 8476292, 8475193, 8483495, 8478399]",[8480045],[8474593],"['Sam Lafferty', 'Nicolas Aube-Kubel', 'Beck Malenstyn', 'Henri Jokiharju', 'Rasmus Dahlin']","['Nico Hischier', 'Ondrej Palat', 'Tomas Tatar', 'Simon Nemec', 'Jonas Siegenthaler']",['Ukko-Pekka Luukkonen'],['Jacob Markstrom'],5.0,5.0,1.0,1.0,4.0,4.0,0,0,5,5,5v5,5v5,5,8479359,8475193,,Beck Malenstyn,Tomas Tatar,,2024020001,BUF,NJD,7.0,,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,68.0,-40.0,45.17742799230607,-62.300527191945,0.0,0.0,5.0,5.0,False,FAC,NJD,False,0,89.0,0.0,0.0,0.0,5,False,False,
19,1,EV,0:0819:52,SHOT,"NJD ONGOAL - #17 NEMEC, Wrist , Off. Zone, 51 ft.",00:08,19:52,8,1192,"['81', '96', '29', '10', '26']","['13', '18', '90', '17', '71']",['1'],['25'],0.0,103.0,00:08,19:52,1551,right,506.0,shot-on-goal,13.0,1,REG,3.0,1.0,,,56.0,-39.0,O,,,wrist,8483495.0,8480045.0,1,0,,,,,,,,,,,,,,,0,0,,,,,,False,NJD,SHOT,"[8478043, 8477979, 8479359, 8480035, 8480839]","[8480002, 8476292, 8475193, 8483495, 8478399]",[8480045],[8474593],"['Sam Lafferty', 'Nicolas Aube-Kubel', 'Beck Malenstyn', 'Henri Jokiharju', 'Rasmus Dahlin']","['Nico Hischier', 'Ondrej Palat', 'Tomas Tatar', 'Simon Nemec', 'Jonas Siegenthaler']",['Ukko-Pekka Luukkonen'],['Jacob Markstrom'],5.0,5.0,1.0,1.0,4.0,4.0,0,0,5,5,5v5,5v5,8,8483495,,,Simon Nemec,,,2024020001,BUF,NJD,1.0,,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,56.0,-39.0,51.088159097779204,-49.76364169072618,0.0,0.0,5.0,5.0,False,HIT,BUF,False,5,45.17742799230607,-62.300527191945,68.0,-40.0,3,False,False,0.019031470641493797
20,1,EV,0:1919:41,GIVE,"NJD GIVEAWAY - #25 MARKSTROM, Def. Zone",00:19,19:41,19,1181,"['81', '96', '29', '10', '26']","['13', '18', '90', '17', '71']",['1'],['25'],0.0,123.0,00:19,19:41,1551,right,504.0,giveaway,14.0,1,REG,3.0,1.0,,,-73.0,8.0,D,,,,,,1,0,8474593.0,,,,,,,,,,,,,,0,0,,,,,,False,NJD,GIVE,"[8478043, 8477979, 8479359, 8480035, 8480839]","[8480002, 8476292, 8475193, 8483495, 8478399]",[8480045],[8474593],"['Sam Lafferty', 'Nicolas Aube-Kubel', 'Beck Malenstyn', 'Henri Jokiharju', 'Rasmus Dahlin']","['Nico Hischier', 'Ondrej Palat', 'Tomas Tatar', 'Simon Nemec', 'Jonas Siegenthaler']",['Ukko-Pekka Luukkonen'],['Jacob Markstrom'],5.0,5.0,1.0,1.0,4.0,4.0,0,0,5,5,5v5,5v5,19,8474593,,,Jacob Markstrom,,,2024020001,BUF,NJD,1.0,,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,73.0,-8.0,17.88854381999832,-26.56505117707799,0.0,0.0,5.0,5.0,False,SHOT,NJD,True,8,51.088159097779204,-49.76364169072618,56.0,-39.0,11,False,False,
